,company,code
715,영보화학,014440
716,영진약품,003520
717,영풍,000670
718,예스코홀딩스,015360
719,유니온머티리얼,047400
720,유유제약,000220
721,유한양행,000100
722,이마트,139480
723,이수화학,005950
724,이스타코,015020
725,인천도시가스,034590
726,일정실업,008500
727,종근당홀딩스,001630
728,지엠비코리아,013870
729,진원생명과학,011000
730,컨버즈,109070
731,케이씨텍,281820
732,코리아써키트,007810
733,코스모화학,005420
734,코아스,071950
735,코오롱플라스틱,138490
736,쿠쿠홀딩스,192400
737,큐로,015590
738,티비에이치글로벌,084870
739,하이트론씨스템즈,019490
740,한국금융지주,071050
741,한국전자홀딩스,006200
742,한국타이어앤테크놀로지,161390
743,한국토지신탁,034830
744,한국특수형강,007280
745,한화솔루션,009830
746,해태제과식품,101530
747,현대에너지솔루션,322000
748,현대위아,011210
749,현대코퍼레이션홀딩스,227840
750,호텔신라,008770
751,화승인더스트리,006060
752,화천기공,000850
753,환인제약,016580
754,효성,004800
755,효성화학,298000
756,흥아해운,003280
757,APS홀딩스,054620
758,CJ ENM,035760
759,CMG제약,058820
760,CS,065770
761,CSA 코스믹,083660
762,EG,037370
763,GV,045890
764,HRS,036640
765,NICE평가정보,030190
766,PN풍년,024940
767,SCI평가정보,036120
768,SM C&C,048550
769,THE E&M,089230
770,UCI,038340
771,감마누,192410
772,강스템바이오텍,217730
773,게임빌,063080
774,경남바이오파마,044480
775,경남제약헬스케어,223310
776,고영,098460
777,광림,014200
778,국영지앤엠,006050
779,나노엔텍,039860
780,나이벡,138610
781,남화토건,091590
782,네오팜,092730
783,넥스턴,089140
784,넵튠,217270
785,노바렉스,194700
786,녹원씨엔아이,065560
787,누리텔레콤,040160
788,뉴파워프라즈마,144960
789,대성파인텍,104040
790,대아티아이,045390
791,대주전자재료,078600
792,대창솔루션,096350
793,덕산네오룩스,213420
794,데브시스터즈,194480
795,동아엘텍,088130
796,드래곤플라이,030350
797,디알텍,214680
798,디엠티,134580
799,딜리,131180
800,럭슬,033600
801,레드로버,060300
802,레드캡투어,038390
803,레이언스,228850
804,로보로보,215100
805,매일홀딩스,005990
806,머큐리,100590
807,메디앙스,014100
808,메타바이오메드,059210
809,멕아이씨에스,058110
810,모두투어,080160
811,무림SP,001810
812,미래에셋대우스팩3호,328380
813,미래에셋벤처투자,100790
814,미코,059090
815,부스타,008470
